G,S,S_full,T,DeltaT
0.5199491955542346,2.874728534895498e-28,2.85520253191603e-28,10.0,5.0
0.004026493271896303,4.601353826252915e-30,4.5701000756949906e-30,10.0,5.0
0.548482472193246,3.2917036199417817e-28,3.269345399360738e-28,10.0,5.0
0.5517276366890841,2.88232384621299e-28,2.8627462536425757e-28,10.0,5.0
0.8614767328341519,5.002771768684385e-28,4.968791469230576e-28,10.0,5.0
0.6310359980955397,3.4280822116460456e-28,3.4047976675003403e-28,10.0,5.0
0.9238594798109728,1.805748106254461e-28,1.7934829332363845e-28,10.0,5.0
0.5086052044502914,2.8987060480338676e-28,2.879017182722032e-28,10.0,5.0
0.9949767880839169,4.368290124093725e-29,4.338619411087046e-29,10.0,5.0
0.5330661169197332,2.876707928279305e-28,2.8571684806772546e-28,10.0,5.0
0.732452501452884,5.19268101457644e-28,5.1574107955815835e-28,10.0,5.0
0.06007387005260779,6.546674141381472e-29,6.502207202232318e-29,10.0,5.0
0.8786093883905699,2.458971222808272e-28,2.4422691659672993e-28,10.0,5.0
0.16283230515321123,1.6036059132683851e-28,1.5927137495495055e-28,10.0,5.0
0.44901516401656716,3.5282078769793754e-28,3.5042432498171233e-28,10.0,5.0
0.06519072580284879,7.011457133499324e-29,6.963833251361936e-29,10.0,5.0
0.05917754178199829,6.451871625527382e-29,6.408048612990809e-29,10.0,5.0
0.25978930638058884,2.273681665760947e-28,2.258238150155282e-28,10.0,5.0
0.5863422633736777,2.9801021599876686e-28,2.9598604283092186e-28,10.0,5.0
0.467117983276484,2.8985412047629973e-28,2.8788534591141914e-28,10.0,5.0
0.6243547335856205,3.613654180832641e-28,3.5891091772098017e-28,10.0,5.0
0.16651114412845924,1.6974839139280639e-28,1.6859541031760043e-28,10.0,5.0
0.6803998719015469,3.231726129039835e-28,3.209775293247261e-28,10.0,5.0
0.04724900978651203,5.168018081412007e-29,5.132915380317524e-29,10.0,5.0
0.43316237323870477,3.120730278253115e-28,3.099533358968061e-28,10.0,5.0
0.6125074851017487,3.4729095387645958e-28,3.449320514208246e-28,10.0,5.0
0.7939732247418294,2.5080292107949657e-28,2.4909939376469217e-28,10.0,5.0
0.9461620600572833,1.1814631646678715e-28,1.1734383188636577e-28,10.0,5.0
0.3058253461812167,2.8898990416490697e-28,2.8702699961137975e-28,10.0,5.0
0.9784078959122544,2.9985324195117168e-28,2.978165504091401e-28,10.0,5.0
0.00659754755217834,7.523509778103998e-30,7.472407883573899e-30,10.0,5.0
0.6263980623102998,2.8380958797065204e-28,2.8188186965142953e-28,10.0,5.0
0.8340647286547007,3.272085885296272e-28,3.249860914154689e-28,10.0,5.0
0.01125919215076865,1.2779684425704953e-29,1.2692881044715072e-29,10.0,5.0
0.7901874889456122,2.406252874750462e-28,2.3899088964561416e-28,10.0,5.0
0.031712084872592916,3.5568290744317043e-29,3.5326700436623985e-29,10.0,5.0
0.5987273410281814,3.359878805882496e-28,3.337057519358004e-28,10.0,5.0
0.9719490381191609,3.3064693804741076e-28,3.2840108665084864e-28,10.0,5.0
0.240461733085216,2.245435723675823e-28,2.2301840628284736e-28,10.0,5.0
0.9448710316002602,1.2919884862108508e-28,1.2832129198663336e-28,10.0,5.0
0.3178552970978723,2.749945469467969e-28,2.7312670298201793e-28,10.0,5.0
0.46190320780534755,3.325820722556559e-28,3.3032307685628483e-28,10.0,5.0
0.646880601299713,2.6666567022879407e-28,2.6485439844885484e-28,10.0,5.0
0.9511602921136584,1.183783704596182e-28,1.1757430970014657e-28,10.0,5.0
0.7933765007784306,2.2321685920261524e-28,2.2170070454586396e-28,10.0,5.0
0.06856204055587878,7.348000401397401e-29,7.298090618252723e-29,10.0,5.0
0.8618591792207401,1.977169972001175e-28,1.9637404511752242e-28,10.0,5.0
0.7876769407015515,3.78188518914141e-28,3.7561975109597858e-28,10.0,5.0
0.9403481988085406,2.178198344323514e-28,2.1634033795795476e-28,10.0,5.0
0.31810887885438266,2.4937868172011033e-28,2.4768482825738498e-28,10.0,5.0
0.010039506890562322,1.1400639537878926e-29,1.1323203035977293e-29,10.0,5.0
0.15213812062440357,1.5429934351725472e-28,1.532512969258717e-28,10.0,5.0
0.40958243890162027,3.17466369103091e-28,3.153100440119024e-28,10.0,5.0
0.3718313439920258,2.9826005128567356e-28,2.9623418116244186e-28,10.0,5.0
0.23329246641743995,2.0695722923033653e-28,2.0555151476842526e-28,10.0,5.0
0.2229384753799174,2.172969352157383e-28,2.158209904250727e-28,10.0,5.0
0.8930654426132004,1.3507072585026106e-28,1.3415328569590158e-28,10.0,5.0
0.7752284147017265,3.8421987169376352e-28,3.816101371508949e-28,10.0,5.0
0.88615402046935,3.4046448681469862e-28,3.381519517348323e-28,10.0,5.0
0.057297389567276036,6.204321935918464e-29,6.162180353791772e-29,10.0,5.0
0.6347811805041776,3.3498021396539956e-28,3.3270492968156297e-28,10.0,5.0
0.19619898777541356,1.8449139940382496e-28,1.8323827947556255e-28,10.0,5.0
0.008317526138760911,9.468920999789322e-30,9.404605299203271e-30,10.0,5.0
0.6834227176864485,3.0215905809839644e-28,3.001067047731672e-28,10.0,5.0
0.8414671347023348,3.8919803581459133e-28,3.8655448811480373e-28,10.0,5.0
0.8311049205898821,1.9120775694841553e-28,1.899090175429083e-28,10.0,5.0
0.3761257674631874,2.9449796604747946e-28,2.9249764911535805e-28,10.0,5.0
0.06664435090062805,7.153819959419877e-29,7.105229107034659e-29,10.0,5.0
0.7824437852745884,3.064450583312435e-28,3.043635932301868e-28,10.0,5.0
0.5880211738315563,2.8770274525444386e-28,2.8574858346407547e-28,10.0,5.0
0.1468465600452119,1.4877954056446482e-28,1.477689861006435e-28,10.0,5.0
0.4128479627486531,3.395623690929664e-28,3.3725596146123422e-28,10.0,5.0
0.9837168258244569,3.6253979986779184e-28,3.6007732275938193e-28,10.0,5.0
0.4339696550611812,3.2674520000012855e-28,3.2452585035636723e-28,10.0,5.0
0.1392972596431563,1.4224657307171e-28,1.4128039244744064e-28,10.0,5.0
0.1419788480309473,1.4465090291637737e-28,1.4366839137558645e-28,10.0,5.0
0.3810969427679598,2.794879163591417e-28,2.7758955210589517e-28,10.0,5.0
0.9816114743387563,3.4609458247684967e-28,3.4374380612908026e-28,10.0,5.0
0.6354857367400846,3.9812297542793636e-28,3.9541880690884156e-28,10.0,5.0
0.0995112884158037,1.053173017856319e-28,1.0460195564976563e-28,10.0,5.0
0.6038985221514364,3.3524746120335974e-28,3.3297036169748565e-28,10.0,5.0
0.11667532566829254,1.2121550271088305e-28,1.2039217131138405e-28,10.0,5.0
0.7493913643498464,3.534465507874337e-28,3.510458377047215e-28,10.0,5.0
0.33824939852142727,2.6011177044206595e-28,2.5834501467923996e-28,10.0,5.0
0.9757609213706409,4.082945123491971e-28,4.055212557560385e-28,10.0,5.0
0.6360571140189166,3.4291486588928684e-28,3.4058568711234353e-28,10.0,5.0
0.19928163913043903,1.8942828287228758e-28,1.8814163017730345e-28,10.0,5.0
0.8070574228702196,2.525171968038032e-28,2.5080202562335086e-28,10.0,5.0
0.22802786382943507,2.029564553915227e-28,2.0157791536398353e-28,10.0,5.0
0.6569500202560056,3.176499450929321e-28,3.1549237310015744e-28,10.0,5.0
0.42447363382268166,3.2879265640768948e-28,3.2655939983688217e-28,10.0,5.0
0.06558354584721271,7.125130116598415e-29,7.076734134076308e-29,10.0,5.0
0.15966078038103726,1.5699949726179769e-28,1.5593311043084195e-28,10.0,5.0
0.46899535634509676,3.1089811976864757e-28,3.087864081618379e-28,10.0,5.0
0.3572406297956465,2.8606488333168212e-28,2.8412184638137788e-28,10.0,5.0
0.022228711744641805,2.5043096987112257e-29,2.4872996895707853e-29,10.0,5.0
0.9599497680906027,1.4111910484268188e-28,1.4016058231675293e-28,10.0,5.0
0.7130166815768195,4.492533481285449e-28,4.462018870572368e-28,10.0,5.0
0.8066387124880284,4.489622135679651e-28,4.459127299685888e-28,10.0,5.0
0.04892226702169166,5.392494535971845e-29,5.355867124676362e-29,10.0,5.0
0.11577643345573774,1.2333330711504616e-28,1.2249559096420904e-28,10.0,5.0
0.9271629265300779,9.995869539446243e-29,9.927974649367858e-29,10.0,5.0
0.7680744853831654,3.6434558609363103e-28,3.6187084355272776e-28,10.0,5.0
0.5659309497215183,3.3431629402489225e-28,3.320455192806868e-28,10.0,5.0
0.9996203315118156,3.8221676714604113e-28,3.796206382798486e-28,10.0,5.0
0.92060648408552,2.726598328643824e-28,2.708078469668545e-28,10.0,5.0
0.9448176791882299,2.2017830684078418e-28,2.186827909270784e-28,10.0,5.0
0.2570480885312916,2.3547120149293567e-28,2.338718117323655e-28,10.0,5.0
0.21101243468351372,1.9326108126067932e-28,1.919483950700767e-28,10.0,5.0
0.5315008141663978,3.0960731183030085e-28,3.0750436777138155e-28,10.0,5.0
0.2800014607430813,2.518134311746929e-28,2.5010304017639624e-28,10.0,5.0
0.5331860873715749,2.8653293104222916e-28,2.845867149744426e-28,10.0,5.0
0.3982000211948959,3.5108588541277197e-28,3.487012066637797e-28,10.0,5.0
0.4704158712577049,3.5977688060003366e-28,3.573331700518751e-28,10.0,5.0
0.7897861245203008,3.051474008851283e-28,3.030747498557063e-28,10.0,5.0
0.16501716881083406,1.6403226261607044e-28,1.6291810717126189e-28,10.0,5.0
0.7290930577455625,3.477979830476045e-28,3.4543563670078e-28,10.0,5.0
0.011258477898583141,1.276917967627246e-29,1.2682447646635203e-29,10.0,5.0
0.3566435331519844,2.9900729433897686e-28,2.9697634872078024e-28,10.0,5.0
0.9388347716175238,1.3471121036443056e-28,1.3379621214526181e-28,10.0,5.0
0.16392489945513566,1.5969046410996884e-28,1.5860579943953567e-28,10.0,5.0
0.827333334918791,2.5254423874779578e-28,2.5082888389055134e-28,10.0,5.0
0.12232554174351686,1.2544434832627822e-28,1.2459229336171964e-28,10.0,5.0
0.14636493376137183,1.470582002116199e-28,1.4605933759851542e-28,10.0,5.0
0.44700240087668497,3.4468817123511527e-28,3.4234694764545234e-28,10.0,5.0
0.7558779189566543,2.123894710520591e-28,2.109468592048596e-28,10.0,5.0
0.5416766819021752,3.2742987019471335e-28,3.2520587006957857e-28,10.0,5.0
0.6512482134743883,2.6213986839510436e-28,2.6035933719435806e-28,10.0,5.0
0.6237075453971116,3.6746985024140927e-28,3.6497388677777585e-28,10.0,5.0
0.4307356838174575,2.951515907961373e-28,2.9314683425232656e-28,10.0,5.0
0.6799233148470134,4.242217556923442e-28,4.21340316570118e-28,10.0,5.0
0.7644086109376823,2.3467412513348454e-28,2.3308014935158896e-28,10.0,5.0
0.11160626378595673,1.1399886765405489e-28,1.1322455376558957e-28,10.0,5.0
0.3904445938868375,2.8923162419676116e-28,2.8726707780978833e-28,10.0,5.0
0.3071691349074175,2.836686130391868e-28,2.817418522624351e-28,10.0,5.0
0.9939394862559875,2.300648519420559e-28,2.285021837019572e-28,10.0,5.0
0.6133985867247264,2.948971297668767e-28,2.928941015977875e-28,10.0,5.0
0.5639965300368633,3.1278845939352166e-28,3.1066390804339446e-28,10.0,5.0
0.00016093893444413254,1.8453438200043835e-31,1.8328097012163253e-31,10.0,5.0
0.6134332275994485,4.550937130774623e-28,4.5200258252683835e-28,10.0,5.0
