G,S,S_full,T,DeltaT
0.619622373907421,3.120987202245018e-28,3.0997851179113652e-28,10.0,5.0
0.4292478145682692,3.0101466795400496e-28,2.9896975781434404e-28,10.0,5.0
0.1380059426142719,1.384902015010405e-28,1.3754938350297424e-28,10.0,5.0
0.8642628302337123,2.1589819390187117e-28,2.144315131954321e-28,10.0,5.0
0.8460729911969092,2.2732579073280373e-28,2.2578147790035923e-28,10.0,5.0
0.64014542675855,3.0880178856191443e-28,3.067039774722868e-28,10.0,5.0
0.226207524730063,2.0629541992854664e-28,2.0489397461412233e-28,10.0,5.0
0.9744292221092706,1.3201225827717375e-28,1.3111544747607457e-28,10.0,5.0
0.43836580340618014,3.0326069084148615e-28,3.01200522591625e-28,10.0,5.0
0.916688269712301,1.7912045985167484e-28,1.779036246487275e-28,10.0,5.0
0.06411913489941778,6.926072191160612e-29,6.879020679192795e-29,10.0,5.0
0.4858756118668105,3.121716755208791e-28,3.1005097147371155e-28,10.0,5.0
0.2247906618438037,2.0533381142883767e-28,2.039388986963115e-28,10.0,5.0
0.11308660661385994,1.1640796381952623e-28,1.1561715908177119e-28,10.0,5.0
0.03417466725583729,3.7977081693395206e-29,3.771908855320241e-29,10.0,5.0
0.24872194858598806,2.210165388916557e-28,2.1951508726976417e-28,10.0,5.0
0.4791469377939207,3.111944119362302e-28,3.0908034682206384e-28,10.0,5.0
0.8958512745645196,1.944212065257586e-28,1.931004273780466e-28,10.0,5.0
0.4983591617731733,3.1373586913651052e-28,3.1160453891152985e-28,10.0,5.0
0.05125400335925867,5.604826925977736e-29,5.566751148840804e-29,10.0,5.0
0.8329409066204198,2.351490340794331e-28,2.3355157490114542e-28,10.0,5.0
0.2886656578262634,2.4454475419466357e-28,2.4288346622204425e-28,10.0,5.0
0.19955890933932108,1.8751151046726997e-28,1.8623767158206235e-28,10.0,5.0
0.7009124618804412,2.939134153706277e-28,2.9191674681172788e-28,10.0,5.0
0.7595464684975819,2.7228211579156265e-28,2.7043239709440342e-28,10.0,5.0
0.5240207010853217,3.1593541612685303e-28,3.1378914352057807e-28,10.0,5.0
0.535605391513925,3.164805911978353e-28,3.1433061500449654e-28,10.0,5.0
0.7803003846177178,2.6291569126458466e-28,2.6112960234540762e-28,10.0,5.0
0.567917047550203,3.165292115498257e-28,3.143789050594613e-28,10.0,5.0
0.7464057490004528,2.777504058873353e-28,2.7586353896102967e-28,10.0,5.0
0.3804454167826343,2.860597582487784e-28,2.841164426483514e-28,10.0,5.0
0.03156049140837813,3.515766445939674e-29,3.4918824721026314e-29,10.0,5.0
0.6948801141291903,2.9573404161965905e-28,2.9372500483597368e-28,10.0,5.0
0.6409892522081733,3.086475207000031e-28,3.0655075761218054e-28,10.0,5.0
0.3578535671611254,2.7746287467137343e-28,2.755779610568608e-28,10.0,5.0
0.06179513623542765,6.689940541138591e-29,6.64449316364266e-29,10.0,5.0
0.5235004943169633,3.159044001963566e-28,3.137583382934072e-28,10.0,5.0
0.34438075721761163,2.718318074899686e-28,2.699851479128928e-28,10.0,5.0
0.9784005716295374,1.2851787292330046e-28,1.2764480084593291e-28,10.0,5.0
0.06375036653149335,6.888678028483782e-29,6.841880549659717e-29,10.0,5.0
0.7119671641282342,2.9038095884229717e-28,2.8840828763947155e-28,10.0,5.0
0.9660360829504193,1.3928967197154847e-28,1.3834342285849921e-28,10.0,5.0
0.47467425272681174,3.104928116827087e-28,3.0838351281293163e-28,10.0,5.0
0.6982796046719261,2.9471732809333043e-28,2.9271519824149504e-28,10.0,5.0
0.3997378110269223,2.925625148561265e-28,2.9057502349173247e-28,10.0,5.0
